"Text Editing","Line Start","Ctrl+A","Editing Text"
"Run/Debug","All Instances","Shift+Ctrl+N","In Windows"
"Edit","Backward Sexp","Alt+Left","Editing Text"
"Navigate","Open Maven POM","Shift+Alt+P","In Windows"
"Views","Show View (Breakpoints)","Shift+Alt+Q B","In Windows"
"Run/Debug","Close Rendering","Ctrl+W","In Memory View"
"Text Editing","Undo+","Ctrl+/","Editing Text"
"Text Editing","Swap Mark","Ctrl+X Ctrl+X","Editing Text"
"Text Editing","Join Lines","Ctrl+Alt+J","Editing Text"
"Text Editing","Universal Argument","Ctrl+Alt+3","Editing Text"
"Text Editing","Previous Column","Ctrl+B","Editing Text"
"Text Editing","Describe Bindings","Ctrl+H B","Editing Text"
"Text Editing","Yank-Pop","Alt+Y","Editing Text"
"Text Editing","Backward Paragraph","Shift+Alt+[","Editing Text"
"Run/Debug","Run to Line","Ctrl+X Ctrl+A Ctrl+U","Debugging"
"Run/Debug","Inspect","Shift+Ctrl+I","In Dialogs and Windows"
"Text Editing","Universal Argument","Ctrl+Alt+2","Editing Text"
"Text Editing","Where Is Command","Ctrl+H W","Editing Text"
"Text Editing","Universal Argument","Ctrl+6","Editing Text"
"Text Editing","Expand","Ctrl+Numpad_Add","Editing Text"
"Text Editing","Down List","Ctrl+Alt+D","Editing Text"
"WindowBuilder Pro","Empty command","Ctrl+Alt+A","WindowBuilder Java scope"
"Edit","Toggle Comment","Shift+Ctrl+C","Editing in Structured Text Editors"
"Text Editing","Text End","Ctrl+X ]","Editing Text"
"Edit","Kill Sexp","Ctrl+Alt+K","Editing Text"
"Text Editing","Page Up","Esc V","Editing Text"
"Edit","Undo","F9","In Windows"
"Git","Copy Path to Clipboard","Ctrl+C","In Git Repositories View"
"Run/Debug","Java Breakpoint Properties","Alt+Enter","In Breakpoints View"
"Text Editing","Universal Argument","Alt+9","Editing Text"
"Edit","Format Active Elements","Ctrl+Alt+\","Editing in Structured Text Editors"
"Edit","Incremental Find","Ctrl+J","Editing Text"
"Task","Show Tooltip Description","F4","In Tasks View"
"Text Editing","Reset Structure","Shift+Ctrl+Numpad_Multiply","Editing Text"
"Text Editing","Comment Next","Alt+N","Editing Java Source"
"Refactor - Java","Extract Local Variable","Shift+Alt+L","In Windows"
"Text Editing","Increment Register","Ctrl+X R +","Editing Text"
"Text Editing","Universal Argument","Alt+6","Editing Text"
"Text Editing","Comment Next","Esc N","Editing Java Source"
"File","Print","Esc F9","In Windows"
"Edit","Paste","Ctrl+V","In Dialogs and Windows"
"Navigate","Last Edit Location","Ctrl+Q","In Windows"
"Window","Show Ruler Context Menu","Ctrl+F10","Editing Text"
"Text Editing","Next Column","Ctrl+F","Editing Text"
"Text Editing","Expand All","Ctrl+Numpad_Multiply","Editing Text"
"Navigate","Forward History","Alt+Right","In Windows"
"WikiText Markup Editing Commands","Display Cheat Sheet","F1","WikiText Markup Source Context"
"Navigate","Go to Next Member","Shift+Ctrl+Down","Editing Java Source"
"Text Editing","Clear Rectangle","Ctrl+X R C","Editing Text"
"Text Editing","What Cursor Position","Ctrl+X =","Editing Text"
"Text Editing","Previous Word","Esc B","Editing Text"
"Text Editing","Emacs+ News","Ctrl+H N","Editing Text"
"Text Editing","Backward Paragraph","Shift+Ctrl+Up","Editing Text"
"File","Print","Ctrl+P","In Windows"
"Text Editing","Select Line End","Shift+End","Editing Text"
"Edit","Quick Fix","Ctrl+1","In Dialogs and Windows"
"Text Editing","Universal Argument","Alt+5","Editing Text"
"Run/Debug","Use Step Filters","Shift+F5","In Windows"
"Navigate","Open Structure","Ctrl+F3","Editing Java Source"
"Navigate","Previous","Ctrl+,","In Windows"
"Text Editing","Forward Character","Ctrl+F","Editing Text"
"Text Editing","Scroll Up","Shift+Ctrl+V","Editing Text"
"Edit","Select Previous Element","Shift+Alt+Left","Editing in Structured Text Editors"
"Text Editing","Kbd Macro End or Call","F4","Editing Text"
"Edit","Toggle Comment","Alt+;","Editing in Structured Text Editors"
"Window","Quick Switch Editor","Ctrl+E","In Windows"
"File","Save All","Ctrl+X S","In Windows"
"Run/Debug","Display","Shift+Ctrl+D","In Dialogs and Windows"
"Text Editing","Line End","End","Editing Text"
"Source","Rename In File","Shift+Alt+R","Editing Ant Buildfiles"
"Text Editing","Number to Register","Ctrl+X R N","Editing Text"
"Text Editing","Show Tooltip Description","F2","Editing Text"
"Edit","Incremental Find Reverse","Shift+Ctrl+J","Editing Text"
"Text Editing","Backward Up List","Ctrl+Alt+Up","Editing Text"
"Edit","Cut","Shift+Delete","In Dialogs and Windows"
"Text Editing","Describe Key","Ctrl+H K","Editing Text"
"Text Editing","Deactivate Window","Ctrl+X 0","In Windows"
"Edit","Cut","Ctrl+X","In Dialogs and Windows"
"Task","Quick Outline","Ctrl+O","In Tasks Editor"
"Views","Show View (Declaration)","Shift+Alt+Q D","In Windows"
"Edit","Content Assist","Ctrl+Space","In Dialogs and Windows"
"Text Editing","Move Lines Down","Alt+Down","Editing Text"
"Text Editing","Split Line","Ctrl+Alt+O","Editing Text"
"Text Editing","Universal Argument","Ctrl+0","Editing Text"
"Source","Format","Ctrl+Alt+\","Editing Java Source"
"Window","Switch to Editor","Ctrl+X Ctrl+B","In Windows"
"Text Editing","Next Line","Shift+Down","Editing Text"
"Text Editing","Apropos Command","Ctrl+H A","Editing Text"
"Edit","Redo","Shift+Ctrl++","In Windows"
"Task","Open Selected Task","Ctrl+Enter","In Tasks View"
"File","Close All","Shift+Ctrl+F4","In Windows"
"Text Editing","Universal Argument","Alt+3","Editing Text"
"Navigate","Open Call Hierarchy","Ctrl+Alt+H","In Windows"
"Text Editing","Scroll Other Window","Alt+PageDown","Editing Text"
"Run/Debug","Run Maven Build","Shift+Alt+X M","In Windows"
"File","Refresh","F5","In Windows"
